In the name of GOD, Most Gracious, Most Merciful.|[Quran 1:1]
You may fight in the cause of GOD  against those who attack you, but do not aggress. GOD does not  love the aggressors. 2:189 The literal Quranic idiom says: "Do not enter  the homes through the back doors." The question about the phases  of the moon is an example of beating around the bush; there were bad  ulterior motives behind this question. 2:190 All fighting is regulated by the basic rule in 60:8-|[Sura 2:190]
 Fighting  is allowed strictly in self-defense, while aggression and oppression  are strongly condemned throughout the Quran. |[Sura 2:9]
You may kill those who wage war against you, and you may evict them whence they evicted you. Oppression is worse than murder. Do not fight them at the Sacred Masjid, unless they attack you therein.  If they attack you, you may kill them. This is the just retribution for those disbelievers. |[Sura 2:191]
If they refrain, then GOD is Forgiver, Most Merciful. |[Sura 2:192]
You may also fight them to eliminate oppression, and to worship GOD freely. If they refrain, you shall not aggress; aggression is permitted only against the aggressors. |[Sura 2:193]
During the Sacred Months, aggres- sion may be met by an equivalent response. If they attack you, you may retaliate by inflicting an equitable retribution. You shall observe GOD and know that GOD is with the righteous. |[Sura 2:194]
You shall spend in the cause of GOD; do not throw yourselves with your own hands into destruction.  You shall be charitable; GOD loves the charitable. |[Sura 2:195]
You shall observe the complete  rites of Hajj and`Umrah for GOD.  If you are prevented, you shall  send an offering, and do not  resume cutting your hair until  your offering has reached its  destination. If you are ill,  or suffering a head injury (and  you must cut your hair),  you shall expiate by fasting,  or giving to charity, or some other form of worship.  During the normal Hajj, if you break the state of Ihraam (sanctity) between `Umrah  and Hajj, you shall expiate by offering  an animal sacrifice. If you cannot  afford it, you shall fast three days during Hajj  and seven when you return home-this completes ten-provided you do not live at the Sacred Masjid. You shall observe GOD, and know that GOD is strict in enforcing retribution. |[Sura 2:196]
Hajj shall be observed in the specified months. Whoever sets out to observe Hajj shall refrain from sexual intercourse, misconduct, and arguments throughout Hajj. Whatever good you do, GOD is fully aware thereof. As you prepare your provisions for the journey, the best provision is righteousness. You shall observe Me, O you who possess intelligence. |[Sura 2:197]
You commit no error by seeking provisions from your Lord (through commerce). When you file from `Arafaat, you shall com- memorate GOD at the Sacred Location (of Muzdalifah). You shall commemorate Him for guiding you; before this, you had gone astray. |[Sura 2:198]
You shall file together, with the  rest of the people who file, and ask GOD for forgiveness. GOD is Forgiver, Most Merciful. |[Sura 2:199]
Once you complete your rites, you shall continue to commemorate GOD as you commemorate your own parents, or even better. Some people would say, "Our Lord, give us of this world," while having no share in the Hereafter. |[Sura 2:200]
Others would say, "Our Lord, grant us righteousness in this world, and righteousness in the Hereafter, and spare us the retribution of Hell." |[Sura 2:201]
Each of these will receive the share they have earned. GOD is most efficient in reckoning. |[Sura 2:202]
You shall commemorate GOD for a number of days (in Mena); whoever hastens to do this in two days commits no sin, and whoever stays longer commits no sin, so long as righteousness is maintained. You shall observe GOD, and know that before Him you will be gathered. |[Sura 2:203]
Among the people, one may impress you with his utterances concerning this life, and may even call upon GOD to witness his innermost thoughts, while he is a most ardent opponent. |[Sura 2:204]
As soon as he leaves, he roams the earth corruptingly, destroying properties and lives. GOD does not love corruption. |[Sura 2:205]
When he is told, "Observe GOD," he becomes arrogantly indignant. Consequently, his only destiny is Hell; what a miserable abode. |[Sura 2:206]
Then there are those who dedicate their lives to serving GOD; GOD is compassionate towards such worshipers. |[Sura 2:207]
O you who believe, you shall embrace total submission; do not follow the steps of Satan, for he is your most ardent enemy. |[Sura 2:208]
If you backslide, after the clear proofs have come to you, then know that GOD is Almighty, Most Wise. |[Sura 2:209]
Are they waiting until GOD Himself comes to them  in dense clouds,together with the angels? When this happens, the whole matter will be terminated, and to GOD everything will be returned. |[Sura 2:210]
Ask the Children of Israel how many  profound miracles have we shown them! For those who disregard the blessings bestowed upon them by GOD, GOD is most strict in retribution. |[Sura 2:211]
This worldly life is adorned in the eyes  of the disbelievers, and they ridicule those who believe. However, the righteous  will be far above them on the Day of Resurrection. GOD blesses whomever He wills, without  limits. |[Sura 2:212]
The people used to be one com- munity when GOD sent the pro- phets as bearers of good news, as well as warners. He sent down with them the scripture, bearing the truth, to judge among the people in their disputes. Ironically, those who received the scripture were the ones who rejected any new scripture, despite clear proofs given to them. This is due to jealousy on their part. GOD guides those who believe to the truth that is disputed by all others, in accord- ance with His will. GOD guides whoever wills in a straight path. |[Sura 2:213]
Do you expect to enter Paradise without being tested like those before you? They were tested with hardship and adversity, and were shaken up, until the messenger and those who believed with him said, "Where is GOD's victory?"  GOD's victory is near. |[Sura 2:214]
They ask you about giving: say, "The charity you give shall go to the parents, the relatives, the orphans, the poor, and the traveling alien." Any good you do, GOD is fully aware thereof. |[Sura 2:215]
Fighting may be imposed on you, even though you dislike it. But you may dislike something which is good for you, and you may like something which is bad for you. GOD knows while you do not know. |[Sura 2:216]
They ask you about the Sacred Months and fighting therein: say, "Fighting therein is a sacrilege. However, repelling from the path of GOD and disbelieving in Him and in the sanctity of the Sacred Masjid, and evicting its people, are greater sacrileges in the sight of GOD. Oppression is worse than murder." They will always fight you to revert you from your religion, if they can. Those among you who revert from their religion, and die as disbelievers, have nullified their works in this life and the Hereafter. These are the dwellers of Hell, wherein they abide forever. |[Sura 2:217]
